dataset,uc,file,line,anaphora,optional,requirements_length,starts_without_nounphrase,incomplete_comparisons,passive,sentence_complexity,negation
etour,UC52,UC52,3,False,False,4,True,False,False,1,False
etour,UC52,UC52,4,False,False,10,True,False,False,3,False
etour,UC8,UC8,1,True,False,25,True,False,False,7,False
etour,UC8,UC8,2,False,False,14,True,False,False,5,False
etour,UC8,UC8,3,False,False,8,True,False,False,3,False
etour,UC8,UC8,4,False,False,30,True,False,False,7,False
etour,UC8,UC8,5,False,False,4,True,False,False,1,False
etour,UC8,UC8,6,False,False,10,False,False,False,4,False
etour,UC6,UC6,1,True,False,25,True,False,False,8,False
etour,UC6,UC6,2,False,False,7,True,False,False,2,False
etour,UC6,UC6,3,False,False,4,True,False,False,1,False
etour,UC6,UC6,4,False,False,7,True,False,False,2,False
etour,UC7,UC7,1,False,False,8,True,False,False,2,False
etour,UC7,UC7,2,False,False,18,True,False,False,5,False
etour,UC7,UC7,3,False,False,11,True,False,False,3,False
etour,UC7,UC7,4,False,False,7,True,False,False,2,False
etour,UC7,UC7,5,False,False,4,True,False,False,1,False
etour,UC7,UC7,6,False,False,4,True,False,False,1,False
etour,UC17,UC17,1,False,False,24,True,False,False,5,False
etour,UC17,UC17,2,False,False,12,True,False,False,4,False
etour,UC17,UC17,3,False,False,12,True,False,False,3,False
etour,UC17,UC17,4,False,False,10,True,False,False,3,False
etour,UC17,UC17,5,False,False,12,True,False,False,3,False
etour,UC17,UC17,6,False,False,34,True,False,False,7,True
etour,UC17,UC17,7,False,False,6,False,False,False,2,False
etour,UC17,UC17,8,False,False,9,True,False,False,2,False
etour,UC23,UC23,1,False,False,8,True,False,False,2,False
etour,UC23,UC23,2,False,False,7,True,False,False,2,False
etour,UC23,UC23,3,False,False,11,True,False,False,3,False
etour,UC23,UC23,4,True,False,14,True,False,False,5,False
etour,UC23,UC23,5,False,False,8,True,False,False,3,False
etour,UC23,UC23,6,False,False,28,True,False,False,6,False
etour,UC23,UC23,7,False,False,9,True,False,False,2,False
etour,UC23,UC23,8,False,False,5,False,False,False,2,False
etour,UC38,UC38,1,False,False,11,True,False,False,3,False
etour,UC38,UC38,2,False,False,10,True,False,False,3,False
etour,UC38,UC38,3,False,False,12,True,False,False,3,False
etour,UC38,UC38,4,False,False,50,True,False,False,11,True
etour,UC38,UC38,5,False,False,6,True,False,False,2,False
etour,UC38,UC38,6,False,False,10,True,False,False,3,False
etour,UC49,UC49,1,False,False,11,True,False,False,3,False
etour,UC49,UC49,2,False,False,6,True,False,False,2,False
etour,UC25,UC25,1,False,False,8,True,False,False,2,False
etour,UC25,UC25,2,True,False,15,True,False,False,5,False
etour,UC25,UC25,3,False,False,8,True,False,False,2,False
etour,UC25,UC25,4,False,False,21,True,False,False,4,False
etour,UC28,UC28,1,False,False,8,True,False,False,2,False
etour,UC28,UC28,2,True,False,15,False,False,False,5,False
etour,UC28,UC28,3,False,False,15,True,False,False,4,False
etour,UC28,UC28,4,False,False,6,True,False,False,1,False
etour,UC30,UC30,1,False,False,9,True,False,False,2,False
etour,UC30,UC30,2,False,False,8,True,False,False,2,False
etour,UC30,UC30,3,False,False,11,True,False,False,3,False
etour,UC30,UC30,4,False,False,44,True,False,False,7,False
etour,UC41,UC41,1,False,False,8,True,False,False,2,False
etour,UC41,UC41,2,False,False,10,True,False,False,3,False
etour,UC41,UC41,3,False,False,11,True,False,False,3,False
etour,UC41,UC41,4,True,False,15,True,False,False,4,False
etour,UC41,UC41,5,False,False,11,False,False,False,3,False
etour,UC41,UC41,6,False,False,27,True,False,False,5,False
etour,UC41,UC41,7,False,False,4,True,False,False,1,False
etour,UC41,UC41,8,False,False,7,True,False,False,2,False
etour,UC10,UC10,1,True,False,27,True,False,False,8,False
etour,UC10,UC10,2,False,False,7,True,False,False,2,False
etour,UC37,UC37,1,False,False,9,True,False,False,3,False
etour,UC37,UC37,2,False,False,7,True,False,False,2,False
etour,UC37,UC37,3,False,False,6,True,False,False,2,False
etour,UC37,UC37,4,False,False,5,True,False,False,1,False
etour,UC20,UC20,1,False,False,27,True,False,False,7,False
etour,UC20,UC20,2,False,False,10,True,False,False,3,False
etour,UC20,UC20,3,False,False,12,True,False,False,3,False
etour,UC20,UC20,4,False,False,50,True,False,False,11,True
etour,UC20,UC20,5,False,False,6,True,False,False,2,False
etour,UC20,UC20,6,False,False,11,True,False,False,3,False
etour,UC4,UC4,1,False,False,9,True,False,False,2,False
etour,UC4,UC4,2,False,False,6,True,False,False,2,False
etour,UC4,UC4,3,False,False,8,True,False,False,2,False
etour,UC4,UC4,4,False,False,4,True,False,False,1,False
etour,UC42,UC42,1,False,False,8,True,False,False,2,False
etour,UC42,UC42,2,False,False,11,True,False,False,3,False
etour,UC42,UC42,3,False,False,11,True,False,False,3,False
etour,UC42,UC42,4,False,False,6,False,False,False,2,False
etour,UC42,UC42,5,False,False,4,True,False,False,1,False
etour,UC42,UC42,6,False,False,6,True,False,False,1,False
etour,UC9,UC9,1,False,False,10,True,False,False,3,False
etour,UC9,UC9,2,False,False,6,True,False,False,2,False
etour,UC9,UC9,3,False,False,8,True,False,False,2,False
etour,UC9,UC9,4,False,False,4,True,False,False,1,False
etour,UC13,UC13,1,False,False,14,True,False,False,3,False
etour,UC13,UC13,2,False,False,8,True,False,False,2,False
etour,UC13,UC13,3,False,False,4,True,False,False,1,False
etour,UC13,UC13,4,True,False,11,False,False,False,4,False
etour,UC36,UC36,1,False,False,19,True,False,False,4,True
etour,UC36,UC36,2,False,False,8,False,False,False,3,False
etour,UC36,UC36,3,False,False,5,False,False,False,2,False
etour,UC18,UC18,1,False,False,41,True,False,False,9,True
etour,UC18,UC18,2,False,False,8,False,False,False,3,False
etour,UC18,UC18,3,False,False,5,False,False,False,2,False
etour,UC35,UC35,1,False,False,5,True,False,False,1,False
etour,UC35,UC35,2,False,False,5,True,False,False,1,False
etour,UC35,UC35,3,False,False,10,True,False,False,3,False
etour,UC35,UC35,4,False,False,16,True,False,False,4,True
etour,UC14,UC14,1,False,False,8,True,False,False,2,False
etour,UC14,UC14,2,False,False,4,True,False,False,1,False
etour,UC14,UC14,3,False,False,7,True,False,False,2,False
etour,UC14,UC14,4,False,False,4,True,False,False,1,False
etour,UC19,UC19,1,False,False,25,True,False,False,6,False
etour,UC19,UC19,2,False,False,12,True,False,False,4,False
etour,UC19,UC19,3,False,False,13,True,False,False,4,False
etour,UC19,UC19,4,False,False,7,True,False,False,2,False
etour,UC19,UC19,5,False,False,4,True,False,False,1,False
etour,UC19,UC19,6,False,False,4,True,False,False,1,False
etour,UC46,UC46,1,False,False,11,False,False,False,4,False
etour,UC46,UC46,2,False,False,11,True,False,False,3,False
etour,UC46,UC46,3,False,False,9,True,False,False,3,False
etour,UC46,UC46,4,False,False,3,True,False,False,1,False
etour,UC46,UC46,5,False,False,6,False,False,False,2,False
etour,UC46,UC46,6,False,False,5,True,False,False,1,False
etour,UC16,UC16,1,False,False,20,False,False,False,6,False
etour,UC16,UC16,2,False,False,7,True,False,False,2,False
etour,UC16,UC16,3,False,False,4,True,False,False,1,False
etour,UC16,UC16,4,False,False,5,True,False,False,1,False
etour,UC54,UC54,1,False,False,17,True,False,False,4,False
etour,UC54,UC54,2,False,False,28,True,False,False,6,False
etour,UC54,UC54,3,False,False,7,True,False,False,2,False
etour,UC54,UC54,4,False,False,5,False,False,False,2,False
etour,UC15,UC15,1,True,False,21,False,False,False,6,False
etour,UC15,UC15,2,False,False,14,True,False,False,4,False
etour,UC15,UC15,3,False,False,9,True,False,False,3,False
etour,UC15,UC15,4,False,False,27,True,False,False,6,False
etour,UC15,UC15,5,False,False,4,True,False,False,1,False
etour,UC15,UC15,6,False,False,7,False,False,False,3,False
etour,UC50,UC50,1,False,False,12,True,False,False,3,False
etour,UC50,UC50,2,True,False,13,True,False,False,5,False
etour,UC1,UC1,1,True,False,23,True,False,False,7,False
etour,UC1,UC1,2,False,False,3,True,False,False,1,False
etour,UC1,UC1,3,False,False,4,True,False,False,1,False
etour,UC1,UC1,4,False,False,5,True,False,False,1,False
etour,UC26,UC26,1,True,False,27,True,False,False,9,False
etour,UC26,UC26,2,True,False,13,True,False,False,4,False
etour,UC26,UC26,3,False,False,11,True,False,False,3,False
etour,UC26,UC26,4,False,False,11,True,False,False,3,False
etour,UC26,UC26,5,False,False,8,True,False,False,2,False
etour,UC26,UC26,6,False,False,28,True,False,False,6,False
etour,UC26,UC26,7,False,False,4,True,False,False,1,False
etour,UC26,UC26,8,False,False,5,True,False,False,1,False
etour,UC39,UC39,1,False,False,8,True,False,False,2,False
etour,UC39,UC39,2,False,False,12,True,False,False,4,False
etour,UC39,UC39,3,False,False,12,True,False,False,3,False
etour,UC39,UC39,4,False,False,10,True,False,False,3,False
etour,UC39,UC39,5,False,False,12,True,False,False,3,False
etour,UC39,UC39,6,False,False,34,True,False,False,7,True
etour,UC39,UC39,7,False,False,6,False,False,False,2,False
etour,UC39,UC39,8,False,False,9,True,False,False,2,False
etour,UC57,UC57,1,False,False,10,True,False,False,2,False
etour,UC57,UC57,2,False,False,6,True,False,False,1,False
etour,UC57,UC57,3,False,False,10,True,False,False,3,False
etour,UC57,UC57,4,False,False,18,True,False,False,4,False
etour,UC21,UC21,1,False,False,8,True,False,False,2,False
etour,UC21,UC21,2,False,False,5,True,False,False,1,False
etour,UC21,UC21,3,False,False,7,True,False,False,2,False
etour,UC21,UC21,4,False,False,28,True,False,False,6,False
etour,UC21,UC21,5,False,False,6,True,False,False,2,False
etour,UC21,UC21,6,False,False,8,False,False,False,3,False
etour,UC22,UC22,1,False,False,9,True,False,False,3,False
etour,UC22,UC22,2,False,False,7,True,False,False,2,False
etour,UC22,UC22,3,False,False,11,True,False,False,3,False
etour,UC22,UC22,4,False,False,7,True,False,False,2,False
etour,UC22,UC22,5,False,False,7,True,False,False,2,False
etour,UC22,UC22,6,False,False,5,True,False,False,1,False
etour,UC32,UC32,1,False,False,5,True,False,False,1,False
etour,UC32,UC32,2,False,False,8,False,False,False,3,False
etour,UC32,UC32,3,False,False,6,True,False,False,1,False
etour,UC56,UC56,1,False,False,9,False,False,False,3,False
etour,UC56,UC56,2,False,False,9,False,False,False,3,False
etour,UC56,UC56,3,False,False,12,False,False,False,4,False
etour,UC5,UC5,1,True,False,26,True,False,False,7,False
etour,UC5,UC5,2,False,False,8,True,False,False,2,False
etour,UC48,UC48,1,False,False,11,False,False,False,4,False
etour,UC48,UC48,2,False,False,11,True,False,False,3,False
etour,UC48,UC48,3,False,False,9,True,False,False,3,False
etour,UC48,UC48,4,False,False,7,True,False,False,2,False
etour,UC48,UC48,5,False,False,4,True,False,False,1,False
etour,UC48,UC48,6,False,False,4,False,False,False,1,False
etour,UC44,UC44,1,False,False,11,True,False,False,3,False
etour,UC44,UC44,2,False,False,10,True,False,False,3,False
etour,UC44,UC44,3,False,False,12,False,False,False,4,False
etour,UC44,UC44,4,False,False,28,True,False,False,6,False
etour,UC44,UC44,5,False,False,4,True,False,False,1,False
etour,UC44,UC44,6,False,False,7,True,False,False,2,False
etour,UC2,UC2,1,False,False,12,True,False,False,3,False
etour,UC2,UC2,2,False,False,5,True,False,False,1,False
etour,UC2,UC2,3,False,False,13,True,False,False,3,False
etour,UC2,UC2,4,False,False,28,True,False,False,6,False
etour,UC2,UC2,5,False,False,4,True,False,False,1,False
etour,UC2,UC2,6,False,False,6,True,False,False,1,False
etour,UC24,UC24,1,True,False,25,True,False,False,8,False
etour,UC24,UC24,2,False,False,5,False,False,False,1,False
etour,UC47,UC47,1,False,False,9,False,False,False,4,False
etour,UC47,UC47,2,False,False,10,True,False,False,3,False
etour,UC47,UC47,3,False,False,9,True,False,False,3,False
etour,UC47,UC47,4,False,False,28,True,False,False,6,False
etour,UC47,UC47,5,False,False,6,False,False,False,2,False
etour,UC47,UC47,6,False,False,5,False,False,False,2,False
etour,UC45,UC45,1,False,False,8,True,False,False,2,False
etour,UC45,UC45,2,False,False,13,True,False,False,5,False
etour,UC3,UC3,1,True,False,24,True,False,False,7,False
etour,UC3,UC3,2,False,False,13,True,False,False,3,False
etour,UC3,UC3,3,False,False,8,True,False,False,3,False
etour,UC3,UC3,4,False,False,28,True,False,False,6,False
etour,UC3,UC3,5,False,False,4,True,False,False,1,False
etour,UC3,UC3,6,False,False,8,False,False,False,3,False
etour,UC58,UC58,1,False,False,12,True,False,False,3,False
etour,UC58,UC58,2,False,False,6,True,False,False,2,False
etour,UC40,UC40,1,False,False,9,True,False,False,3,False
etour,UC40,UC40,2,False,False,12,True,False,False,4,False
etour,UC40,UC40,3,False,False,13,True,False,False,4,False
etour,UC40,UC40,4,False,False,7,True,False,False,2,False
etour,UC40,UC40,5,False,False,4,True,False,False,1,False
etour,UC40,UC40,6,False,False,4,True,False,False,1,False
etour,UC55,UC55,1,False,False,22,False,False,False,6,False
etour,UC55,UC55,2,False,False,8,False,False,False,3,False
etour,UC55,UC55,3,False,False,5,False,False,False,2,False
itrust,UC31,UC31S1,1,False,False,12,False,False,True,2,False
itrust,UC31,UC31S1,2,True,False,56,False,False,False,14,False
itrust,UC31,UC31S1,3,False,False,15,True,False,True,2,False
itrust,UC31,UC31S2,1,False,False,91,False,False,False,22,True
itrust,UC11,UC11S1,1,True,False,21,False,False,False,6,False
itrust,UC11,UC11S1,2,True,False,66,False,False,False,11,False
itrust,UC11,UC11S1,3,False,False,11,False,False,False,1,False
itrust,UC11,UC11S1,4,True,False,101,True,False,True,22,False
itrust,UC11,UC11S1,5,False,False,12,False,False,False,3,False
itrust,UC11,UC11S1,6,False,False,10,False,False,True,2,False
itrust,UC11,UC11S2,1,False,False,45,False,False,False,6,False
itrust,UC11,UC11S2,2,True,False,28,False,False,True,5,False
itrust,UC11,UC11E1,1,False,False,15,False,False,False,2,False
itrust,UC11,UC11E2,1,False,False,9,False,False,False,2,True
itrust,UC11,UC11E2,2,False,False,16,False,False,False,2,True
itrust,UC12,UC12,1,False,False,17,False,False,False,5,False
itrust,UC12,UC12,2,False,False,56,False,False,False,14,False
itrust,UC27,UC27S1,1,False,False,15,False,False,False,4,False
itrust,UC27,UC27S1,2,False,False,22,False,False,False,6,False
itrust,UC27,UC27S2,1,False,False,15,False,False,False,4,False
itrust,UC27,UC27S2,2,False,False,17,False,False,True,4,False
itrust,UC29,UC29,1,True,False,24,False,False,False,6,False
itrust,UC29,UC29,2,False,False,28,False,True,False,5,False
itrust,UC29,UC29,3,True,False,42,False,False,False,9,False
itrust,UC29,UC29,4,False,False,32,False,False,True,8,False
itrust,UC29,UC29,5,False,False,90,True,False,True,22,False
itrust,UC34,UC34S1,1,True,False,16,False,False,False,4,False
itrust,UC34,UC34S1,2,False,False,24,False,False,True,6,False
itrust,UC34,UC34S1,3,True,False,25,False,False,False,6,False
itrust,UC34,UC34S1,4,False,False,21,True,False,True,5,False
itrust,UC34,UC34S1,5,False,False,42,True,False,False,11,False
itrust,UC34,UC34S1,6,False,False,12,True,False,False,4,False
itrust,UC34,UC34S2,1,True,False,22,False,False,True,4,False
itrust,UC34,UC34S2,2,False,False,25,False,False,False,5,False
itrust,UC34,UC34S2,3,False,False,20,False,False,False,4,False
itrust,UC34,UC34S3,1,False,False,11,False,False,False,3,False
itrust,UC34,UC34S3,2,True,False,53,False,False,True,13,False
itrust,UC34,UC34S3,3,False,False,11,False,False,False,3,False
itrust,UC34,UC34S3,4,False,False,34,False,False,False,6,False
itrust,UC34,UC34S3,5,False,False,17,False,False,False,4,False
itrust,UC34,UC34S4,1,False,False,11,False,False,False,3,False
itrust,UC34,UC34S4,2,True,False,18,False,False,True,6,False
itrust,UC34,UC34S4,3,True,True,68,True,False,True,17,False
itrust,UC34,UC34S5,1,False,False,9,False,False,False,2,False
itrust,UC34,UC34S5,2,False,False,36,False,False,True,10,False
itrust,UC34,UC34S5,3,False,False,12,False,False,False,4,False
itrust,UC34,UC34S5,4,False,False,26,False,False,False,5,False
itrust,UC34,UC34S5,5,True,False,24,False,False,True,6,False
itrust,UC34,UC34S5,6,False,False,27,False,False,False,6,False
itrust,UC34,UC34S6,1,True,False,33,False,False,True,9,False
itrust,UC34,UC34S6,2,False,False,36,False,False,True,10,False
itrust,UC34,UC34S6,3,False,False,12,False,False,False,4,False
itrust,UC34,UC34S6,4,False,False,26,False,False,False,5,False
itrust,UC34,UC34S6,5,True,False,23,False,False,True,6,False
itrust,UC34,UC34S6,6,False,False,27,False,False,False,6,False
itrust,UC34,UC34E1,1,False,False,9,False,False,False,2,True
itrust,UC34,UC34E1,2,False,False,14,False,False,False,2,True
itrust,UC34,UC34E2,1,False,False,31,False,False,False,7,False
itrust,UC34,UC34E2,2,False,False,15,False,False,True,3,False
itrust,UC34,UC34E3,1,False,False,19,False,False,False,5,False
itrust,UC34,UC34E3,2,False,False,15,False,False,True,3,False
itrust,UC34,UC34E4,1,False,False,30,False,False,False,6,True
itrust,UC33,UC33S1,1,True,False,26,False,False,False,7,False
itrust,UC33,UC33S1,2,False,False,29,False,False,False,6,False
itrust,UC33,UC33S1,3,False,False,17,False,False,True,4,False
itrust,UC33,UC33S1,4,False,False,26,False,False,False,3,False
itrust,UC33,UC33S1,5,False,False,22,False,False,False,5,False
itrust,UC33,UC33S1,6,False,False,61,True,False,False,16,False
itrust,UC33,UC33S2,1,False,False,8,False,False,False,2,False
itrust,UC33,UC33S2,2,False,False,22,False,False,True,4,False
itrust,UC33,UC33S2,3,False,False,56,False,False,True,14,False
itrust,UC33,UC33S3,1,False,False,12,False,False,False,3,False
itrust,UC33,UC33S3,2,False,False,22,False,False,False,7,False
itrust,UC33,UC33S3,3,False,False,38,False,False,False,9,False
itrust,UC33,UC33E1,1,False,False,10,False,False,False,2,True
itrust,UC33,UC33E1,2,False,False,15,False,False,False,2,True
itrust,UC33,UC33E2,1,False,False,26,False,False,True,6,False
itrust,UC8,UC8S1,1,False,False,19,True,False,True,5,False
itrust,UC8,UC8S2,1,False,False,60,False,False,True,15,False
itrust,UC6,UC6S1,1,False,False,29,False,False,True,8,True
itrust,UC6,UC6S1,2,False,False,18,False,False,True,3,False
itrust,UC6,UC6S2,1,True,False,19,False,False,False,5,False
itrust,UC6,UC6S3,1,False,False,16,False,False,False,4,False
itrust,UC6,UC6S3,2,False,True,27,False,False,False,6,False
itrust,UC6,UC6S3,3,False,False,12,False,False,False,3,False
itrust,UC17,UC17S1,1,False,False,64,False,False,True,12,True
itrust,UC17,UC17S2,1,False,False,59,True,False,False,9,True
itrust,UC17,UC17S3,1,True,False,19,False,False,False,5,True
itrust,UC17,UC17S3,2,False,False,20,False,False,False,4,True
itrust,UC23,UC23S1,1,True,False,24,False,False,False,4,False
itrust,UC23,UC23S3,1,False,False,19,False,False,False,4,False
itrust,UC23,UC23S3,2,True,False,133,False,False,True,34,True
itrust,UC23,UC23S4,1,True,False,25,False,False,False,9,False
itrust,UC23,UC23E1,1,False,False,13,False,False,False,2,False
itrust,UC23,UC23E2,1,False,False,9,False,False,False,2,True
itrust,UC23,UC23E2,2,False,False,12,False,False,False,2,True
itrust,UC38,UC38S1,1,False,False,13,False,False,True,3,False
itrust,UC38,UC38S1,2,False,False,20,False,False,False,5,False
itrust,UC38,UC38S1,3,False,False,17,False,False,False,4,False
itrust,UC38,UC38S2,1,False,False,19,False,False,False,5,False
itrust,UC38,UC38S2,2,False,False,18,False,False,False,5,False
itrust,UC25,UC25,1,False,False,10,False,False,False,2,False
itrust,UC25,UC25,2,False,False,47,False,False,False,11,False
itrust,UC25,UC25,3,True,False,94,False,False,True,28,False
itrust,UC25,UC25E1,1,False,False,15,False,False,False,3,True
itrust,UC25,UC25E1,2,False,False,8,False,False,True,1,False
itrust,UC28,UC28,1,True,False,20,False,False,False,6,False
itrust,UC28,UC28,2,False,False,20,False,False,False,5,False
itrust,UC28,UC28,3,False,False,18,False,False,True,3,False
itrust,UC30,UC30S1,1,False,False,27,False,False,False,6,False
itrust,UC30,UC30S1,2,True,False,17,False,False,True,3,False
itrust,UC30,UC30S1,3,False,False,37,False,False,False,9,False
itrust,UC30,UC30S1,4,True,False,37,False,False,False,9,False
itrust,UC30,UC30S1,5,False,False,27,False,False,False,6,False
itrust,UC30,UC30S1,6,True,False,18,False,False,True,5,False
itrust,UC30,UC30S1,7,True,False,20,True,False,True,3,False
itrust,UC30,UC30S2,1,False,False,23,False,False,False,5,False
itrust,UC30,UC30S2,2,False,False,17,False,False,False,4,False
itrust,UC30,UC30S2,3,False,False,30,False,False,False,7,False
itrust,UC30,UC30S2,4,False,False,27,False,False,False,6,False
itrust,UC30,UC30S2,5,True,False,55,False,False,True,13,False
itrust,UC30,UC30S2,6,True,False,18,True,False,True,3,False
itrust,UC30,UC30S3,1,False,False,12,False,False,False,2,False
itrust,UC30,UC30S3,2,False,False,11,False,False,False,2,False
itrust,UC30,UC30S3,3,True,False,30,False,False,False,8,False
itrust,UC30,UC30S3,4,True,False,30,False,False,False,7,False
itrust,UC30,UC30S3,5,False,False,35,False,False,False,8,False
itrust,UC30,UC30S3,6,False,False,33,False,False,False,8,False
itrust,UC30,UC30S3,7,True,False,19,False,False,True,5,False
itrust,UC30,UC30S4,1,False,False,9,False,False,False,2,False
itrust,UC30,UC30S4,2,False,False,9,False,False,False,2,False
itrust,UC30,UC30S4,3,True,False,28,False,False,False,8,False
itrust,UC30,UC30S4,4,True,False,28,False,False,False,7,False
itrust,UC30,UC30S4,5,False,False,33,False,False,False,8,False
itrust,UC30,UC30S4,6,False,False,34,False,False,False,8,False
itrust,UC30,UC30S4,7,False,False,23,False,False,True,3,False
itrust,UC30,UC30S5,1,False,False,24,False,False,False,6,False
itrust,UC30,UC30S5,2,False,False,13,False,False,False,2,False
itrust,UC30,UC30S5,3,False,False,41,False,False,False,11,False
itrust,UC30,UC30S5,4,False,False,22,True,False,False,4,False
itrust,UC30,UC30S5,5,False,False,13,False,False,False,3,False
itrust,UC30,UC30S5,6,False,False,58,False,False,True,14,False
itrust,UC30,UC30S5,7,False,False,33,True,False,False,6,True
itrust,UC30,UC30S6,1,True,False,55,False,False,False,11,False
itrust,UC30,UC30S6,2,True,False,31,False,False,False,7,False
itrust,UC30,UC30S6,3,True,False,60,True,False,False,14,False
itrust,UC30,UC30S6,4,False,False,30,True,False,True,4,True
itrust,UC30,UC30S7,1,True,False,116,False,False,False,23,True
itrust,UC30,UC30S7,2,False,False,33,False,False,False,8,False
itrust,UC30,UC30S7,3,False,False,53,True,False,False,11,False
itrust,UC30,UC30S7,4,False,False,20,False,False,True,4,False
itrust,UC30,UC30S7,5,False,False,84,True,False,False,17,False
itrust,UC30,UC30S7,6,False,False,22,False,False,True,4,False
itrust,UC30,UC30S7,7,True,False,20,False,False,False,5,False
itrust,UC30,UC30E1,1,False,False,15,False,False,False,2,False
itrust,UC30,UC30E2,1,False,False,9,False,False,False,2,True
itrust,UC30,UC30E2,2,False,False,14,False,False,False,2,True
itrust,UC10,UC10S1,1,True,False,21,False,False,False,5,False
itrust,UC10,UC10S1,2,False,False,77,False,False,False,19,False
itrust,UC10,UC10S1,3,False,False,16,False,False,False,3,False
itrust,UC10,UC10S1,4,False,False,20,False,False,False,5,False
itrust,UC10,UC10S2,1,False,False,15,True,False,False,4,False
itrust,UC10,UC10S2,2,False,False,54,False,False,True,13,False
itrust,UC10,UC10E1,1,False,False,17,False,False,False,2,False
itrust,UC10,UC10E2,1,False,False,9,False,False,False,2,True
itrust,UC10,UC10E2,2,False,False,16,False,False,False,2,True
itrust,UC37,UC37S1,1,False,False,15,False,False,False,2,False
itrust,UC37,UC37S1,2,False,False,8,False,False,True,2,False
itrust,UC37,UC37S2,1,False,False,19,False,False,False,4,False
itrust,UC37,UC37S2,2,False,False,8,False,False,True,2,False
itrust,UC37,UC37S3,1,False,False,17,False,False,False,4,False
itrust,UC37,UC37S3,2,True,False,36,False,False,True,11,False
itrust,UC4,UC4S1,1,False,False,26,False,False,False,4,False
itrust,UC4,UC4S1,2,True,False,47,True,False,True,7,True
itrust,UC4,UC4S2,1,False,False,31,False,False,False,7,False
itrust,UC4,UC4S3,1,False,False,15,False,False,False,3,False
itrust,UC4,UC4S4,1,False,False,17,False,False,False,5,False
itrust,UC4,UC4E1,1,True,False,40,False,False,False,10,True
itrust,UC4,UC4E2,1,True,False,19,False,False,False,6,True
itrust,UC9,UC9S1,1,True,False,64,False,False,False,17,False
itrust,UC9,UC9S1,2,True,False,64,True,False,False,11,True
itrust,UC9,UC9S2,1,True,False,31,False,False,False,9,False
itrust,UC9,UC9S2,2,False,False,127,False,False,False,21,False
itrust,UC13,UC13,1,False,False,31,False,False,False,6,False
itrust,UC13,UC13E1,1,False,False,17,False,False,False,2,False
itrust,UC36,UC36S1,1,True,False,33,False,False,True,7,True
itrust,UC36,UC36S1,2,False,False,15,False,False,False,3,False
itrust,UC36,UC36S1,3,False,False,30,True,True,False,6,False
itrust,UC36,UC36S1,4,False,False,35,False,False,False,5,False
itrust,UC36,UC36S2,1,True,False,33,False,False,True,7,True
itrust,UC36,UC36S2,2,False,False,15,False,False,False,3,False
itrust,UC36,UC36S2,3,False,False,30,True,True,False,6,False
itrust,UC36,UC36S2,4,False,False,35,False,False,False,5,False
